Designator,Mid X,Mid Y,Rotation,Layer
C10,49.0,-105.5,270.0,top
C11,76.086789,-111.75,270.0,top
C12,84.5,-103.5,0.0,top
C2,21.25,-92.8,90.0,top
C3,29.25,-73.0,90.0,top
C4,79.0,-71.75,90.0,top
C5,69.75,-72.0,90.0,top
C6,68.25,-99.75,180.0,top
C7,84.5,-90.0,0.0,top
C8,39.5,-102.50038,270.0,top
C9,36.0,-100.75038,270.0,top
D1,28.25,-92.5,90.0,top
D2,67.05,-83.0,180.0,top
J17,20.0775,-79.245,270.0,top
J18,88.5,-75.96,90.0,top
L1,47.25,-81.5,0.0,top
Q1,60.25,-92.75,90.0,top
R16,39.0,-94.5,270.0,top
R17,35.75,-92.5,270.0,top
R18,45.5,-103.75,0.0,top
R19,42.0,-100.0875,270.0,top
R20,68.25,-108.0,180.0,top
R21,64.5875,-108.0,180.0,top
U9,47.0,-97.25,270.0,top
