Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1u,
J1,PinHeader_1x02_P2.54mm_Vertical,1,12 vin,
J12,PinHeader_1x02_P2.54mm_Vertical,1,I IN,
J13,PinHeader_1x02_P2.54mm_Vertical,1,15V IN,
J14,PinHeader_1x02_P2.54mm_Vertical,1,I OUT,
J2,PinSocket_1x03_P2.54mm_Vertical,1,potentiometer,
J3,PinHeader_1x02_P2.54mm_Vertical,1,OUT PWM,
J4,PinHeader_1x02_P2.54mm_Vertical,1,I IN 2,
J5,PinHeader_1x02_P2.54mm_Vertical,1,opamp power,
J6,PinHeader_1x02_P2.54mm_Vertical,1,I OUT 2,
J7,PinHeader_1x02_P2.54mm_Vertical,1,for jumper,
"R1, R2",0805,2,33k,
"R14, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,0.1,
R15,0805,1,8000,
R3,0805,1,10k,
R4,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,1k,
R5,0805,1,100,
R7,0805,1,15k,
U1,SOT-23-6,1,ADA4807-1,
U2,TSOT-23-5,1,AD8603,
U3,MSOP-8_3x3mm_P0.65mm,1,AD8212,
U8,RM_8_ADI,1,AD8227ARZ,
