Designator,Mid X,Mid Y,Rotation,Layer
C1,46.75,-35.49,90.0,top
J1,36.75,-34.235,0.0,top
J12,35.625,-70.02,180.0,top
J13,60.625,-69.995,0.0,top
J14,56.625,-70.02,180.0,top
J2,42.75,-34.54,0.0,top
J3,57.75,-34.22,0.0,top
J4,35.0,-57.88,0.0,top
J5,60.0,-57.895,0.0,top
J6,55.0,-57.92,180.0,top
J7,48.245,-42.74,90.0,top
R1,49.25,-30.74,0.0,top
R14,43.775,-70.21,90.0,top
R15,39.375,-69.68,270.0,top
R2,53.5,-30.74,0.0,top
R3,53.75,-42.74,0.0,top
R4,49.88,-48.24,0.0,top
R5,50.5,-61.36,180.0,top
R6,38.75,-57.11,90.0,top
R7,45.075,-57.458815,90.0,top
U1,51.25,-36.6025,90.0,top
U2,50.3,-57.7225,90.0,top
U3,42.075,-57.208815,0.0,top
U8,50.625,-69.18,0.0,top
